CITY;AREA;POP80;POP92;POPDEN;BORN_F;CRIME;INCOME;POVERT;TEMPER;UNEMP
NEW_YORK;308,9;7071639;7311966;23671;28,4;9236;29823;19,3;76,8;8,6
LOS_ANGE;469,3;2968528;3489779;7436;38,4;9730;30925;18,9;74,3;9
CHICAGO;227,2;3005072;2768483;12185;16,9;;26301;21,6;75,1;8,4
HOUSTON;539,9;1595138;1690180;3131;17,8;10824;26261;20,7;83,5;6,1
PHILADEL;135,1;1688210;1552572;11492;6,6;6835;24603;20,3;76,7;8
SAN_DIEG;324;875538;1148851;3546;20,9;8537;;13,4;71;6,2
DALLAS;342,4;904599;1022497;2986;12,5;15066;27489;18;85,9;6,9
PHOENIX;419,9;789704;1012230;2411;8,6;9958;29291;14,2;93,5;5
DETROIT;138,7;1203368;1012110;7297;3,4;12263;18742;32,4;74,2;13,1
SAN_ANTO;333;785940;966437;2902;9,4;12291;23584;22,6;85;7,1
SAN_JOSE;171,3;629400;801331;4678;26,5;5364;;9,3;69,5;6,4
INDIANAP;361,7;700807;746538;2064;1,9;7357;29006;12,5;75,4;5,1
SAN_FRAN;46,7;678974;728921;15609;34;9384;;12,7;59,1;5,6
BALTIMOR;80,8;786741;726096;8986;3,2;11371;24045;21,9;77;9,4
JACKSONV;758,7;540920;661177;871;3,4;10591;28305;13;81,6;6,7
COLUMBUS;190,9;565021;642987;3368;3,7;10145;26651;17,2;73,2;4,8
MILWAUKE;96,1;636297;617043;6421;4,7;9044;23627;22,2;73,6;5,7
MEMPHIS;256;646174;610275;2384;1,4;10184;22674;23;82,6;5,9
WASHINGT;61,4;638432;585221;9531;9,7;10768;30727;16,9;80;7,7
BOSTON;48,4;562994;551675;11398;20;10837;29180;18,7;73,5;8,4
EL_PASO;245,4;425259;543813;2216;23,4;9630;23460;25,3;82,3;10,6
SEATTLE;83,9;493846;519598;6193;13,1;12248;29353;12,4;65,2;5,1
CLEVELAN;77;573822;502539;6526;4,1;8945;17822;28,7;71,9;8,5
NASHVILL;473,3;455651;495012;1046;2,5;8665;27821;13,4;79,3;4,7
AUSTIN;217,8;345890;492329;2260;8,5;11295;25414;17,9;84,5;5
NEW_ORLE;180,6;557927;489595;2711;4,2;10830;18477;31,6;81,9;6,1
DENVER;153,3;492686;483852;3156;7,4;7625;25106;17,1;73,5;5,4
FORT_WOR;281,1;385164;454430;1617;9;16973;26547;17,4;85,3;8,1
OKLAHOMA;608,2;404014;453995;746;4,2;11073;25741;15,9;82;6,1
PORTLAND;124,7;368148;445458;3572;7,7;11182;25592;14,5;68,2;5,3
LONG_BEA;50;361498;438771;8775;24,3;9131;31938;16,8;73,1;7,7
KANSAS_C;311,5;448028;431553;1385;2,8;13198;26713;15,3;78,5;6,9
VIRGINIA;248,3;262199;417061;1680;5,2;5863;;5,9;78,2;5,4
CHARLOTT;174,3;315474;416294;2388;3,8;12643;31873;10,8;79,3;5
TUCSON;156,3;330537;415079;2656;10,7;10401;21748;20,2;86,6;3,9
ALBUQUER;132,2;332920;398492;3014;5,5;10284;27555;14;78,5;5
ATLANTA;131,8;425022;394848;2996;3,4;18953;22275;27,3;78,8;6,5
ST__LOUI;61,9;452801;383733;6199;2,5;16031;19458;24,6;78,4;9
SACRAMEN;96,3;275741;382816;3975;13,7;10098;28183;17,2;75,7;7,2
FRESNO;99,1;217491;376130;3795;17,1;12031;24923;24;81,9;11
TULSA;183,5;360919;375307;2045;3;8887;25708;15;83,3;6
OAKLAND;56,1;339337;373219;6653;19,8;12186;27095;18,8;62,1;7,3
HONOLULU;82,8;365048;371320;4485;21,4;5959;;8,4;78,9;2,3
MIAMI;35,6;346681;367016;10309;59,7;18394;16925;31,2;82,6;10,7
PITTSBUR;55,6;423959;366852;6598;4,6;8219;20747;21,4;72,1;5,4
CINCINNA;77,2;385409;364278;4719;2,8;9722;21006;24,3;76,4;5,9
MINNEAPO;54,9;370951;362696;6606;6,1;11282;25324;18,5;73,6;4,8
OMAHA;100,6;313939;339671;3376;2,8;7081;26927;12,6;76,9;3,2
TOLEDO;80,6;354635;329325;4086;2,8;9503;24819;19,1;72,1;9,6
BUFFALO;40,6;357870;323284;7963;4,5;9555;18482;25,6;71,1;9,5
WICHITA;115,1;279838;311746;2708;4;9830;28024;12,5;81,4;4,7
MESA;108,6;152404;296645;2732;4,9;7595;30273;9,5;91,2;4,6
COLORADO;183,2;215105;295815;1615;4,7;7441;28928;10,9;70,8;5,9
LAS_VEGA;83,3;164674;295516;3548;10,3;7431;30590;11,5;91,1;6,1
SANTA_AN;27,1;204023;288024;10628;50,9;7654;;18,1;72,6;6,2
TAMPA;108,7;271577;284737;2619;8;16557;22772;19,4;82,1;6,7
ARLINGTO;93;160113;275907;2967;7,6;9480;;8,2;85,3;5,4
ANAHEIM;44,3;219494;274162;6189;28,4;7152;;10,6;72,6;5,4
LOUISVIL;62,1;298694;271038;4365;1,5;6425;20141;22,6;77,2;7,7
ST__PAUL;52,8;270230;268266;5081;7,3;7892;26498;16,7;73,6;5,1
NEWARK;23,8;329248;267849;11254;18,7;14806;21650;26,3;77,8;12,6
CORPUS_C;135;232134;266412;1973;5,3;10443;25773;20;84,1;7,6
BIRMINGH;148,5;284413;264984;1784;1,2;12586;19193;24,8;79,8;7,3
NORFOLK;53,8;266979;253768;4717;3,7;9251;23563;19,3;78,2;6,4
ANCHORAG;1697,6;174431;245866;145;5,9;6687;;7,1;58,4;6,7
AURORA;132,5;158588;239626;1808;5,6;8631;;7,4;73,5;4,4
RIVERSID;77,7;170591;238601;3071;15,5;8935;;11,9;77,9;10,4
ST__PETE;59,2;238647;235306;3975;7,2;11023;23577;13,6;83,1;7,2
ROCHESTE;35,8;241741;234163;6541;6,2;11196;22785;23,5;70,2;7
LEXINGTO;284,5;204165;232562;817;2,9;7018;28056;14,1;75,8;3,8
JERSEY_C;14,9;223532;228575;15341;24,6;9201;29054;18,9;74,9;10
BATON_RO;73,9;220394;224704;3041;3;13118;21898;26,2;82,3;6
AKRON;62,2;237177;223621;3595;3,1;8066;22279;20,5;71,9;7,5
RALEIGH;88,1;150255;220524;2503;5;7790;32451;11,8;78,6;4,1
STOCKTON;52,6;148283;219621;4175;22,6;11326;26876;21,4;77,7;11,9
RICHMOND;60,1;219214;202263;3365;1,8;11611;23551;20,9;78;6,8
MOBILE;118;200452;201896;1711;2,1;12863;22446;22,4;82,3;7,3
